yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet,Tweet_Preprocessed,sentiment,score,Ner_results
6,11,179,4,12079,@MNCVKG,Aric of Fornburg,6s,"She is 14 - 9 ! Lmao 

36 - 9 with just an 11% finish rate when including non Olympic competition. 

The other girl got hit hard and quit, now this poor lady has to endure a horrific wave of humiliation. Its so fucked up.",she is 14 9 lmao 36 9 with just an 11 finish rate when includ non olymp competit the other girl got hit hard and quit now this poor ladi has to endur a horrif wave of humili it so fuck up,negative,0.9084084630012512,"[{'entity': 'PER', 'word': 'Lma'}, {'entity': 'PER', 'word': '##o'}]"
185,10542,57684,9758,1629466,@beyoncegarden,𝗱𝗮𝗻𝗻𝘆,6s,beyoncé narrates simone biles' story for the olympics,beyoncé narrat simon bile stori for the olymp,neutral,0.9044003486633301,[]
4,64,325,12,7808,@beyoncepress,Beyoncé Press.,6s,Representing H-Town! Tune in to watch Simone Biles compete in the Women's All-Around at 8/7c for the #PARIS2024 Olympics  — narrated by Beyoncé.,repres htown tune in to watch simon bile compet in the women allaround at 87c for the olymp narrat by beyoncé,neutral,0.7857196927070618,"[{'entity': 'ORG', 'word': 'H - Town'}, {'entity': 'PER', 'word': 'Simone Biles'}, {'entity': 'MISC', 'word': 'PARIS20'}, {'entity': 'MISC', 'word': 'Olympics'}]"
14,172,1520,24,38253,@AustralianOpen,#AusOpen,6s,"Sir Andy 

 3x Grand Slam champion
 2x Olympic gold medallist
 46 ATP singles titles 
 41 weeks at world No.1

What a player. What a career. 
@andy_murray",sir andi 3x grand slam champion 2x olymp gold medallist 46 atp singl titl 41 week at world no1 what a player what a career,positive,0.9441354870796204,"[{'entity': 'PER', 'word': 'Sir'}, {'entity': 'PER', 'word': 'Andy'}, {'entity': 'MISC', 'word': 'Grand Slam'}, {'entity': 'MISC', 'word': 'Olympic'}]"
5,29,421,1,8322,@ndrew_lawrence,Andrew Lawrence,6s,i thought these assholes were boycotting the olympics,i thought these asshol were boycot the olymp,negative,0.786698579788208,[]
12,22,190,4,84420,@AlertaNews24,Alerta News 24,6s," | ALERTA OLÍMPICA - PARÍS 2024: Natación 200m braza femenino:

 Kate Douglass - EEUU.
 Tatjana Smith - Sudáfrica.
 Tes Schouten - Países Bajos.

#Paris2024   #Olympics  
#Swimming",alerta olímpica parí 2024 natación 200m braza femenino kate douglass eeuu tatjana smith sudáfrica tes schouten país bajo,neutral,0.8692740797996521,"[{'entity': 'ORG', 'word': 'ALERTA OLÍMPICA'}, {'entity': 'LOC', 'word': 'PARÍ'}, {'entity': 'ORG', 'word': 'Natación'}, {'entity': 'PER', 'word': 'Kate Douglass'}, {'entity': 'ORG', 'word': 'EEUU'}, {'entity': 'PER', 'word': 'Ta'}, {'entity': 'PER', 'word': '##jana Smith'}, {'entity': 'LOC', 'word': 'Su'}, {'entity': 'LOC', 'word': '##dárica'}, {'entity': 'PER', 'word': 'Te'}, {'entity': 'PER', 'word': '##s Schouten'}, {'entity': 'ORG', 'word': 'Países Bajos'}, {'entity': 'LOC', 'word': 'Paris'}]"
4,29,344,3,6393,@OlympicEsporte,Olympic Esporte,6s,"7° lugar das meninas do Brasil 

Natação Revezamento 4x200m Feminino",7 lugar das menina do brasil natação revezamento 4x200m feminino,neutral,0.890144407749176,"[{'entity': 'LOC', 'word': 'Brasil'}, {'entity': 'ORG', 'word': 'Natação Revezamento'}]"
6,32,295,10,21881,@mitchgoldich,Mitch Goldich,6s,"Most medals in U.S. Olympic history:

1. Michael Phelps
2. Katie Ledecky 
3. Everyone else 

#París2024",most medal in us olymp histori 1 michael phelp 2 kati ledecki 3 everyon els,neutral,0.6967266201972961,"[{'entity': 'LOC', 'word': 'U S'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'PER', 'word': 'Michael Phelps'}, {'entity': 'PER', 'word': 'Katie Ledecky'}]"
3,103,707,6,24822,@NicoleAuerbach,Nicole Auerbach,6s," Katie Ledecky has now won 13 Olympic medals, more than any other American woman in history. ",kati ledecki has now won 13 olymp medal more than ani other american woman in histori,positive,0.7574641108512878,"[{'entity': 'PER', 'word': 'Katie Ledecky'}, {'entity': 'MISC', 'word': 'Olympic'}]"
627,4671,50546,927,1088209,@OscarPiastri,Oscar Piastri,6s,Can confirm I am not competing at the Olympics,can confirm i am not compet at the olymp,negative,0.5720772743225098,[]
45,86,272,2,5269,@leslibless,ProudArmyBrat,6s,"This Olympics has got to be the most disgustingly woke one ever! 

The IOC should be ashamed! 

This was Angela Carini’s unfair opponent!",this olymp has got to be the most disgust woke one ever the ioc should be asham this was angela carini unfair oppon,negative,0.9436350464820862,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'ORG', 'word': 'IOC'}]"
128,57,245,12,104841,@Olympics,The Olympic Games,6s,"It's #silver for Italy! 

They claim the second spot in fencing women's team foil. 
@coninews
 | 
@FIE_fencing
 | #Fencing
#Paris2024 | #Samsung | #TogetherforTomorrow",it for itali they claim the second spot in fenc women team foil,neutral,0.7831650972366333,"[{'entity': 'LOC', 'word': 'Italy'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'ORG', 'word': 'Samsung'}]"
4,21,182,1,3041,@transscribe,Katelyn Burns,6s,"The usual government treatment is getting locked up and gang raped in prison, have their head shaven and then beaten by prison officials until they sign a legal document saying they’ll never behave femininely ever again.

And y’all think they sent a trans woman to the Olympics??",the usual govern treatment is get lock up and gang rape in prison have their head shaven and then beaten by prison offici until they sign a legal document say theyll never behav feminin ever again and yall think they sent a tran woman to the olymp,negative,0.8565040230751038,[]
135,542,3298,23,66052,@RobSchneider,Rob Schneider,6s,"If I wasn’t boycotting the 
@Olympics
 when they used drag queens to insult Christianity, I sure would now that they allow Men to beat the shit out of women!!
And if YOU don’t, why not?!",if i wasnt boycot the when they use drag queen to insult christian i sure would now that they allow men to beat the shit out of women and if you dont whi not,negative,0.8922334909439087,"[{'entity': 'MISC', 'word': '@'}, {'entity': 'MISC', 'word': 'Olympics'}]"
12,84,317,2,3952,@JennferCanesten,Jennifer Canesten,6s,"It's plain mad how alleged olympic fans have so far been upset about drag queens dancing, a Grecian banquet and a woman who looks a bit masculine fighting but not the inclusion of Israel who are actively committing genocide.",it plain mad how alleg olymp fan have so far been upset about drag queen danc a grecian banquet and a woman who look a bit masculin fight but not the inclus of israel who are activ commit genocid,negative,0.8300001621246338,"[{'entity': 'MISC', 'word': 'Grecian'}]"
49,65,609,11,139791,@cnni,CNN International,6s,A tearful Andy Murray ends a storied tennis career with a loss in Paris after the three-time grand slam champ vowed to retire following the Olympics https://cnn.it/4d4aqIp,a tear andi murray end a stori tenni career with a loss in pari after the threetim grand slam champ vow to retir follow the olymp,neutral,0.5266005396842957,"[{'entity': 'PER', 'word': 'Andy Murray'}, {'entity': 'LOC', 'word': 'Paris'}]"
72,106,855,94,251147,@historyinmemes,Historic Vids,6s,"Mark Spitz, the legendary American swimmer, etched his name in Olympic history during the 1972 Munich Games, where he achieved an unprecedented feat that would stand for decades.

With his iconic mustache and unparalleled determination, Spitz won an incredible seven gold medals, setting a new standard for excellence in swimming and captivating the world with his remarkable performance.",mark spitz the legendari american swimmer etch his name in olymp histori dure the 1972 munich game where he achiev an unpreced feat that would stand for decad with his icon mustach and unparallel determin spitz won an incred seven gold medal set a new standard for excel in swim and captiv the world with his remark perform,positive,0.8922851085662842,"[{'entity': 'PER', 'word': 'Mark Spitz'}, {'entity': 'MISC', 'word': 'American'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'MISC', 'word': 'Munich Games'}]"
66,51,1574,28,69855,@elitetakes_,Nico,6s,"If Imane Khelif was that unbeatable and problematic in the women’s boxing space, wouldn’t there have been mass outrage or discussion about her before today?

Obviously feel bad for Angela Carini, hate to see any athlete that devastated on the Olympic stage. But this literally isn’t a trans athlete case. 

People are acting way more upset than they really are & reaching imo",if iman khelif was that unbeat and problemat in the women box space wouldnt there have been mass outrag or discuss about her befor today obvious feel bad for angela carini hate to see ani athlet that devast on the olymp stage but this liter isnt a tran athlet case peopl are act way more upset than they realli are reach imo,negative,0.7831083536148071,"[{'entity': 'PER', 'word': 'Iman'}, {'entity': 'PER', 'word': '##e Khelif'}, {'entity': 'PER', 'word': 'Angela Carini'}]"
10,11,984,17,26192,@Canylina,Alejandra,6s,She doesn’t have XY chromosomes. Stop spreading misinformation. And it’s the IBA that’s not even recognized by the Olympic committee. They didn’t even perform tests before removing her. Go read the IOC before lying again.,she doesnt have xy chromosom stop spread misinform and it the iba that not even recogn by the olymp committe they didnt even perform test befor remov her go read the ioc befor lie again,negative,0.8713855147361755,"[{'entity': 'ORG', 'word': 'IBA'}, {'entity': 'MISC', 'word': 'Olympic'}]"
4,156,874,18,19249,@transscribe,Katelyn Burns,6s,I have spoken with trans people from MENA countries and no one on this app is ready to hear about the vile treatment they receive from society and their own governments. To think they would send a trans woman to the Olympics is just flat out delusion.,i have spoken with tran peopl from mena countri and no one on this app is readi to hear about the vile treatment they receiv from societi and their own govern to think they would send a tran woman to the olymp is just flat out delus,negative,0.8766409754753113,"[{'entity': 'LOC', 'word': 'MENA'}]"
16,20,203,2,79724,@AlertaNews24,Alerta News 24,6s," | ALERTA OLÍMPICA - PARÍS 2024: Natación 200m mariposa femenino:

 Summer McIntosh - Canadá.
 Regan Smith - EEUU.
 Yufei Zhang - China.

#Paris2024   #Olympics  
#Swimming",alerta olímpica parí 2024 natación 200m mariposa femenino summer mcintosh canadá regan smith eeuu yufei zhang china,neutral,0.904262900352478,"[{'entity': 'ORG', 'word': 'ALERTA OLÍMPICA'}, {'entity': 'LOC', 'word': 'PARÍS'}, {'entity': 'ORG', 'word': 'Natación'}, {'entity': 'PER', 'word': 'Summer McIntosh'}, {'entity': 'LOC', 'word': 'Canad'}, {'entity': 'PER', 'word': 'Regan Smith'}, {'entity': 'ORG', 'word': 'EEUU'}, {'entity': 'PER', 'word': 'Yufei Zhang'}, {'entity': 'LOC', 'word': 'China'}, {'entity': 'LOC', 'word': 'Paris'}]"
47,1048,3452,316,228768,@parkwood,Parkwood Entertainment,6s,"H-Town stand up. Watch 
@simonebiles
 take on the Women’s All-Around at 8/7c for the #PARIS2024 Olympics  — narration by 
@beyonce",htown stand up watch take on the women allaround at 87c for the olymp narrat by,neutral,0.9243696928024292,"[{'entity': 'ORG', 'word': 'H - Town'}, {'entity': 'ORG', 'word': 'siiles'}, {'entity': 'MISC', 'word': 'PARIS20'}]"
19,43,248,2,11371,@WajahatAli,Wajahat Ali,6s,"MAGA's hateful & cruel attacks on trans people for 3 years has led to this moment where they are bullying, hounding & smearing Imane Khelif instead of celebrating her brilliance & talent at the Olympics. I'm glad 
@Algeria_FC
 is pushing back & giving 0 F's in calling out their hate.",maga hate cruel attack on tran peopl for 3 year has led to this moment where they are bulli hound smear iman khelif instead of celebr her brillianc talent at the olymp im glad is push back give 0 fs in call out their hate,negative,0.8630843758583069,"[{'entity': 'ORG', 'word': 'MAGA'}, {'entity': 'PER', 'word': 'Imane Khelif'}, {'entity': 'MISC', 'word': 'Olympics'}]"
76,96,729,6,67466,@FoxNews,Fox News,6s,"Jake Paul calls out 'sickening' Olympics boxing controversy, offers fighter spot on undercard",jake paul call out sicken olymp box controversi offer fighter spot on undercard,neutral,0.6271398067474365,"[{'entity': 'PER', 'word': 'Jake Paul'}]"
31,732,2822,49,108446,@Paris2024,Paris 2024,6s,"HISTORIC ! 

Apóstolos Chrístou  just won the first Olympic  swimming medal for Greece since 1896.
Getty Images / Adam Pretty
#Paris2024",histor apóstolo chrístou just won the first olymp swim medal for greec sinc 1896 getti imag adam pretti,positive,0.6256321668624878,"[{'entity': 'PER', 'word': 'Apóslos Chrístou'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'LOC', 'word': 'Greece'}, {'entity': 'ORG', 'word': 'Getty Images'}, {'entity': 'PER', 'word': 'Adam Pretty'}]"
40,48,159,5,7757,@leslibless,ProudArmyBrat,6s,"Angela Carini’s Olympic bout w Algerian boxer, Imane Khelif, ends in 46 seconds. 

We all know WHY!

""I was told a lot of times that I was a warrior but I preferred to stop for my health. I have never felt a punch like this.""",angela carini olymp bout w algerian boxer iman khelif end in 46 second we all know whi i was told a lot of time that i was a warrior but i prefer to stop for my health i have never felt a punch like this,neutral,0.5181872248649597,"[{'entity': 'PER', 'word': 'Angela Carini'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'MISC', 'word': 'Algerian'}, {'entity': 'PER', 'word': 'I'}, {'entity': 'PER', 'word': '##man'}]"
5,8,267,16,5527,@aimellisse,lis | olympics,6s,ловіть ще комент Марти після матчу ,ловіть ще комент марти після матчу,neutral,0.7923482060432434,[]
722,494,1640,52,72473,@harryjsisson,Harry Sisson,6s,"Imane Khelif, the boxer at the Olympics who MAGA is claiming is actually a man, was born a biological woman and is in compliance with standards at the Olympics.

MAGA should learn to read first before losing their minds over something.",iman khelif the boxer at the olymp who maga is claim is actual a man was born a biolog woman and is in complianc with standard at the olymp maga should learn to read first befor lose their mind over someth,negative,0.5526763200759888,"[{'entity': 'PER', 'word': 'Imane Khelif'}, {'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'ORG', 'word': 'MAGA'}, {'entity': 'MISC', 'word': 'Olympics'}]"
58,36,841,9,54884,@markminervini,Mark Minervini,6s,Another disgraceful reason why I am never watching the Olympics again until common sense and fairness return.,anoth disgrac reason whi i am never watch the olymp again until common sens and fair return,negative,0.7985278964042664,[]
4,48,739,11,16048,@Eurosport_IT,Eurosport IT,6s,"La delusione per l'oro sfiorato ma anche il sorriso per un bellissimo argento 

Brave ragazze

#Olympics #HomeOfTheOlympics #Olimpiadi #Parigi2024 #Paris2024 #ItaliaTeam",la delusion per loro sfiorato ma anch il sorriso per un bellissimo argento brave ragazz,neutral,0.7702679634094238,"[{'entity': 'MISC', 'word': 'Olympics'}, {'entity': 'ORG', 'word': 'Home'}, {'entity': 'ORG', 'word': 'Olimpiadi'}, {'entity': 'ORG', 'word': 'Parigi'}, {'entity': 'ORG', 'word': 'Paris'}]"
4,275,3539,34,30768,@barneyconbotox,Nicky (Olympic Edition),6s,"A AUSTRALIA LES REGALARON 2 PENALES Y SE LOS ATAJARON
LES REGALARON 2 CORNER CORTOS AL FINAL DE LOS ÚLTIMOS 2 C'S
1 DE ESOS 2 SE ORIGINÓ A PARTIR DE UN PIE NO COBRADO DE _ELLAS_ EN MITAD DE CANCHA

MIS MAYORES RESPETOS A LAS LEONAS, HOY SE ENFRENTARON A UN EQUIPO CON  12 NO 11",a australia les regalaron 2 penal y se los atajaron les regalaron 2 corner corto al final de los último 2 cs 1 de eso 2 se originó a partir de un pie no cobrado de _ellas_ en mitad de cancha mis mayor respeto a las leona hoy se enfrentaron a un equipo con 12 no 11,neutral,0.9008493423461914,"[{'entity': 'ORG', 'word': 'A'}, {'entity': 'LOC', 'word': 'AUSTL'}, {'entity': 'ORG', 'word': 'PES'}, {'entity': 'ORG', 'word': 'SE LOS ATAJONES RON'}, {'entity': 'ORG', 'word': 'CO AL FINAL DE LOS ÚLTIMOS'}, {'entity': 'ORG', 'word': ""C ' S""}, {'entity': 'ORG', 'word': 'DE'}, {'entity': 'ORG', 'word': 'ESÓ'}, {'entity': 'ORG', 'word': 'UN PASHA'}, {'entity': 'LOC', 'word': 'LAS LEONAS'}]"
27,59,234,1,14814,@xx_xyathletics,XX-XY Athletics,6s,"“The IOC is saddened by the abuse that the two athletes are currently receiving.” 

The IOC is concerned for the cheating males, not Angela Carini & not for the future of all girls & women. #shame http://xx-xyathletics.org
@iocmedia
 @Paris2024
 @Olympics
 @NBCOlympics",the ioc is sadden by the abus that the two athlet are current receiv the ioc is concern for the cheat male not angela carini not for the futur of all girl women,negative,0.8692862391471863,"[{'entity': 'ORG', 'word': 'IOC'}, {'entity': 'ORG', 'word': 'IOC'}, {'entity': 'PER', 'word': 'Angela Carini'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'MISC', 'word': 'Olympics'}]"
9,50,465,3,8837,@TakeshitaFan,Jona,6s,My face when I go to the Olympics to compete in boxing and my opponent actually hits hard,my face when i go to the olymp to compet in box and my oppon actual hit hard,neutral,0.5713162422180176,[]
3,57,714,32,11735,@ian___woods,ian woods,6s,Olympic LeBron,olymp lebron,neutral,0.8222505450248718,"[{'entity': 'MISC', 'word': 'Olympic'}]"
28,152,2051,35,135107,@BBCSport,BBC Sport,6s,"Goodbye, Andy 

What a journey it's been 

#Paris2024 #Olympics",goodby andi what a journey it been,positive,0.5505965948104858,"[{'entity': 'PER', 'word': 'Andy'}, {'entity': 'LOC', 'word': 'Paris'}]"
2,18,206,10,9325,@birtuemoirs,marie☽,6s,not this five quads at the olympics discourse,not this five quad at the olymp discours,neutral,0.5127207040786743,[]
28,94,869,122,73729,@vocalcry,Circe,6s,Men will literally win an Olympic silver medal instead of just going to therapy,men will liter win an olymp silver medal instead of just go to therapi,neutral,0.6441137790679932,[]
17,62,1225,131,97977,@itsme_urstruly,Itsme,6s,"Wow, Katie Ledecky balancing a glass of chocolate milk on her head while swimming is more impressive than her seven Olympic gold medals.",wow kati ledecki balanc a glass of chocol milk on her head while swim is more impress than her seven olymp gold medal,positive,0.7430301904678345,"[{'entity': 'PER', 'word': 'Katie Ledecky'}]"
120,461,7405,110,499793,@CasperRuud98,Casper Ruud,6s,"Hey 
@Olympics
 would it be possible to have 3 tickets for the golf event tomorrow? The athletes website for ticketing is down.. 
Thank you in advance! #Paris2024",hey would it be possibl to have 3 ticket for the golf event tomorrow the athlet websit for ticket is down thank you in advanc,neutral,0.857367217540741,"[{'entity': 'MISC', 'word': 'Olympics'}]"
24,286,709,8,9842,@OurShallowState,The Shallow State,6s,"Here were the chyrons on cable news moments ago:

CNN: Americans Released in Historic Prisoner Swap with Russia
MSNBC: Four US Residents Released in Prisoner Swap with Russia
Fox: Olympic Boxing Controversy Fuels Gender Debate",here were the chyron on cabl news moment ago cnn american releas in histor prison swap with russia msnbc four us resid releas in prison swap with russia fox olymp box controversi fuel gender debat,neutral,0.9137245416641235,"[{'entity': 'ORG', 'word': 'CNN'}, {'entity': 'MISC', 'word': 'Americans'}, {'entity': 'LOC', 'word': 'Russia'}, {'entity': 'ORG', 'word': 'MSNBC'}, {'entity': 'MISC', 'word': 'US'}, {'entity': 'LOC', 'word': 'Russia'}, {'entity': 'ORG', 'word': 'Fox'}, {'entity': 'MISC', 'word': 'Olympic Boxing'}]"
86,1148,6621,131,137704,@JortsTheCat,Jorts (and Jean),6s,"That Italian crybaby who quit because she got punched in the face *in an Olympic boxing match* is not just a loser, she is also a cop! Which tracks tbh

All solidarity to the Algerian woman who landed a good one on a crybaby cop who immediately gave up ",that italian crybabi who quit becaus she got punch in the face in an olymp box match is not just a loser she is also a cop which track tbh all solidar to the algerian woman who land a good one on a crybabi cop who immedi gave up,negative,0.8510022759437561,"[{'entity': 'MISC', 'word': 'Italian'}, {'entity': 'MISC', 'word': 'Olympic'}]"
6,118,817,103,52633,@ItalianComments,italians mad at food,6s,"italian swimmer thomas ceccon stating the food in the olympic village is so bad people are moving out 

#OlympicGames #PARIS2024 #ItaliaTeam",italian swimmer thoma ceccon state the food in the olymp villag is so bad peopl are move out,negative,0.9247810244560242,"[{'entity': 'MISC', 'word': '##alian'}, {'entity': 'PER', 'word': '##oma'}, {'entity': 'PER', 'word': 'ccon'}, {'entity': 'MISC', 'word': 'OlympicGames'}, {'entity': 'LOC', 'word': 'PARI'}]"
4,22,218,14,1860,@AsiaLadowska,Asia,6s,"Real life anime hero showed up at Olympics this year!
Kim Ye-Ji",real life anim hero show up at olymp this year kim yeji,neutral,0.6729133129119873,"[{'entity': 'MISC', 'word': 'Olympics'}]"
11,16,203,1,21552,@beinsports_FR,beIN SPORTS,6s," LÉON MARCHAND QUALIFIÉ POUR LA FINALE DU 200M 4 NAGES !

 Une 4ème médaille à venir pour le roi Léon ?

 RDV demain pour la Finale !
#Paris2024 #Olympics #JeuxOlympiques",léon marchand qualifié pour la final du 200m 4 nage une 4ème médaill à venir pour le roi léon rdv demain pour la final,neutral,0.8280649781227112,"[{'entity': 'LOC', 'word': 'L MARCHAND'}, {'entity': 'PER', 'word': 'Léon'}, {'entity': 'ORG', 'word': 'R'}, {'entity': 'ORG', 'word': '##DV'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'MISC', 'word': 'Olympics'}]"
26,13,5130,12,139547,@BaileyCarlin,B.W. Carlin,6s,The Olympics established parameters and they allowed her to fight,the olymp establish paramet and they allow her to fight,neutral,0.7683618068695068,[]
47,14,207,10,146235,@barstoolsports,Barstool Sports,6s,Tom Cruise Is Allegedly Closing Out The Paris Olympics By Repelling Down The Stade de France Then Skydiving With The Flag Onto The Hollywood Sign In L.A. https://buff.ly/3YuG51c.,tom cruis is alleg close out the pari olymp by repel down the stade de franc then skydiv with the flag onto the hollywood sign in la,neutral,0.8798992037773132,"[{'entity': 'PER', 'word': 'Tom Cruise'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'LOC', 'word': 'Stade de France'}, {'entity': 'LOC', 'word': 'Hollywood Sign'}]"
120,117,421,13,104457,@Olympics,The Olympic Games,6s,"#Gold shines on the USA! 

An incredible victory in fencing women's team foil 

This is their first-ever gold medal in this event! 
@TeamUSA
 | 
@FIE_fencing
 | #Fencing
#Paris2024 | #Samsung | #TogetherforTomorrow",shine on the usa an incred victori in fenc women team foil this is their firstev gold medal in this event,positive,0.7443227171897888,"[{'entity': 'LOC', 'word': 'USA'}, {'entity': 'ORG', 'word': 'TeamUSA'}, {'entity': 'ORG', 'word': 'F'}, {'entity': 'ORG', 'word': '##IE'}, {'entity': 'LOC', 'word': 'Paris'}, {'entity': 'ORG', 'word': 'Samsung'}]"
7,28,174,9,8326,@gymnerd00,Rebeca’s TTY 6.0 #FreePalestine,6s,"I’m sorry but I can’t respect this Suni’s medal once again. She was clearly overscored by like… half a point? Alice, darling, I’m so sorry for you! You are the real All-Around bronze medalist at the 2024 Olympic Games",im sorri but i cant respect this suni medal onc again she was clear overscor by like half a point alic darl im so sorri for you you are the real allaround bronz medalist at the 2024 olymp game,negative,0.7476902008056641,"[{'entity': 'PER', 'word': 'Suni'}, {'entity': 'PER', 'word': 'Alice'}, {'entity': 'MISC', 'word': 'All - Around'}, {'entity': 'MISC', 'word': '2024'}]"
3,24,216,8,7648,@SummayaMughal,Summaya Mughal (she/her),6s,"An honour and also absolutely gutting watching Andy Murray compete for the very last time. 5x Olympian, 3x Olympic medalist, and a British sporting legend. Thank you Murray, enjoy retirement #Paris2024",an honour and also absolut gut watch andi murray compet for the veri last time 5x olympian 3x olymp medalist and a british sport legend thank you murray enjoy retir,positive,0.9766584038734436,"[{'entity': 'PER', 'word': 'Andy Murray'}, {'entity': 'MISC', 'word': 'Olympia'}, {'entity': 'MISC', 'word': 'Olympic'}, {'entity': 'MISC', 'word': 'British'}, {'entity': 'PER', 'word': 'Murray'}]"
8,9,322,2,17577,@Braden_Keith,Braden Keith,6s,"American women's 800 free relay, including Katie Ledecky, is masked up in the ready room after a recent outbreak of COVID-19 within the team. #Olympics",american women 800 free relay includ kati ledecki is mask up in the readi room after a recent outbreak of covid19 within the team,neutral,0.5399699211120605,"[{'entity': 'MISC', 'word': 'American'}, {'entity': 'PER', 'word': 'Katie Ledecky'}, {'entity': 'MISC', 'word': 'CO'}]"
14,63,203,7,20824,@TheInsiderPaper,Insider Paper,6s,NEW - Turkish President Recep Tayyip Erdogan urged Pope Francis Thursday to speak out with him against the “perverse propaganda” he said was spread at the Olympic Games opening ceremony.,new turkish presid recep tayyip erdogan urg pope franci thursday to speak out with him against the pervers propaganda he said was spread at the olymp game open ceremoni,neutral,0.839953601360321,"[{'entity': 'MISC', 'word': 'Turkish'}, {'entity': 'PER', 'word': 'Recep Tayyip Erdogan'}, {'entity': 'PER', 'word': 'Pope Francis'}]"
25,371,1043,185,70196,@MauRSchneider,Mauricio Schneider,6s,"Here’s the first round of the Kellie Harrington vs Imane Khelif fight from the Tokyo 2020 Olympics, which Harrington won. No false allegations were made then by disingenuous transphobic bigots.

Full fight starts at 1:47:00 https://olympics.com/en/video/quarter-finals-semi-finals-finals-day-11-morning-session-boxing-tokyo-2020-repla…",here the first round of the kelli harrington vs iman khelif fight from the tokyo 2020 olymp which harrington won no fals alleg were made then by disingenu transphob bigot full fight start at 14700,neutral,0.8029370903968811,"[{'entity': 'PER', 'word': 'Ke'}, {'entity': 'PER', 'word': '##llie Harrington'}, {'entity': 'PER', 'word': 'Imane Khelif'}, {'entity': 'LOC', 'word': 'Tokyo'}, {'entity': 'MISC', 'word': '2020'}, {'entity': 'MISC', 'word': 'Olympics'}]"
24,72,679,1,9973,@AntWalkerMMA,Anthony Walker,6s,Spoiler alert: Your favorite fighter is too stupid to Google the factual information about the women's Olympic boxing match,spoiler alert your favorit fighter is too stupid to googl the factual inform about the women olymp box match,negative,0.8122878670692444,[]
758,9433,31621,526,528149,@WesleyHuntTX,Wesley Hunt,6s,"Sanctioning a MAN BEATING A WOMAN at the Olympics is a reminder of what this election is about.  

My daughters will NOT compete against men in sports and they will NOT change in front of men either.

When common sense becomes counter culture we’ve lost our way as a society.",sanction a man beat a woman at the olymp is a remind of what this elect is about my daughter will not compet against men in sport and they will not chang in front of men either when common sens becom counter cultur weve lost our way as a societi,negative,0.8390388488769531,[]
56,57,241,4,116225,@livedoornews,ライブドアニュース,6s,"【パリ五輪速報】競泳男子200メートル個人メドレー 準決勝

瀬戸大也、全体5位で決勝進出を決める！

▼五輪ニュースはこちらから
https://news.livedoor.com/paris2024

#パリ2024 #Olympics

（写真：共同通信社）
※写真は予選のものです",パリ五輪速報競泳男子200メートル個人メドレー 準決勝 瀬戸大也全体5位で決勝進出を決める 五輪ニュースはこちらから 写真共同通信社 写真は予選のものです,neutral,0.8117384314537048,"[{'entity': 'LOC', 'word': '##こらから'}, {'entity': 'MISC', 'word': 'パ'}]"
7,16,302,2,103134,@BBCSport,BBC Sport,6s,"Duncan Scott and Tom Dean have both made it through to the 200m individual medley final 

#BBCOlympics #Olympics #Paris2024",duncan scott and tom dean have both made it through to the 200m individu medley final,neutral,0.620054304599762,"[{'entity': 'PER', 'word': 'Duncan Scott'}, {'entity': 'PER', 'word': 'Tom Dean'}, {'entity': 'ORG', 'word': 'BBCO'}, {'entity': 'MISC', 'word': 'Olympics'}]"
12,43,685,6,74219,@babybeginner,Jennifer,6s,Unethically yes.  Illegally no.  The International Olympic Committee allows men to compete in women’s sports.  The International Boxing Association thinks this is a travesty.,uneth yes illeg no the intern olymp committe allow men to compet in women sport the intern box associ think this is a travesti,negative,0.5821605324745178,"[{'entity': 'ORG', 'word': 'International Olympic Committee'}]"
18,604,2653,34,62499,@StatMamba,StatMamba,6s,A'ja Wilson is the only player in the 2024 Olympics (Men’s or Women’s) with multiple double-doubles.,aja wilson is the onli player in the 2024 olymp men or women with multipl doubledoubl,neutral,0.8939825892448425,"[{'entity': 'PER', 'word': ""A ' ja Wilson""}]"
10,29,264,5,7239,@LindseyStirling,Lindsey Stirling,6s,I love the Olympics so much so I wanted to find a way to send love to our amazing athletes #innergold #olympics,i love the olymp so much so i want to find a way to send love to our amaz athlet,positive,0.9756666421890259,[]
7,25,727,1,33531,@Devin_Heroux,Devin Heroux,6s,"QUALIFIED 

 FINLAY KNOX MAKES HIS FIRST OLYMPIC FINAL

WHAT A RACE",qualifi finlay knox make his first olymp final what a race,positive,0.8887338638305664,[]
