,yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet
258,97,2402,20949,229,416547,@BleacherReport,Bleacher Report,4s,Katie Ledecky and Simone Biles are making HISTORY this Olympics 
259,212,117,778,37,162984,@Olympics,The Olympic Games,4s,We'll always have these amazing Olympic memories Andy   #Olympics
261,86,31,348,13,50737,@davemeltzerWON,Dave Meltzer,4s,AEW did 609K/0.18 against the Olympics last night.  Don't have NBC numbers yet.
262,15,14,202,6,30335,@LakeShowYo,LakeShowYo,4s,Team USA’s basketball players are staying outside the Olympic Village in Paris for an estimated $15 million:
263,6,24,178,4,27175,@usacycling,USA Cycling,4s,"Kamren Larsen, Cameron Wood, Alise Willoughby, and Daleny Vaughn advance to BMX Racing Semifinals at Paris 2024 Olympic Games 

Read More: https://usacycling.org/article/larsen-vaughn-willoughby-and-wood-advance-to-bmx-racing-semifinals-at-2024-paris-olympic-games…"
264,1,69,241,22,4572,@Woman4W,Tiffany ⚢ Woman4Women,4s,This. Doctors report these children to scouts who pay for this information. Does anyone really think it's a COINCIDENCE that the 2016 Rio Olympic track events were dominated entirely by males with DSDs from poor nations? Don't be gullible.
265,12,24,183,5,91083,@BBCWorld,BBC News (World),4s,Murray's career ends with Olympic doubles defeat
266,1477,321,3209,44,364463,@BBCSport,BBC Sport,4s,"What do you reckon? 

#Paris2024 #Olympics"
267,28,50,728,5,8301,@IAmENISA,ENISA,4s,My Olympics 2024 trip has come to an end. So grateful for this once in a lifetime experience in Paris 
268,3,81,1104,8,16326,@ItaliaTeam_it,ItaliaTeam,4s,"I nostri campioni qui a Casa Italia: Alice Bellandi e Giovanni De Gennaro! 

#CasaItalia #ItaliaTeam #Paris2024 #Olympics #Ensemble 
@federcanoa
 @FijlkamOfficial"
271,87,631,2247,155,79331,@wild_gat,YuriMargrIne,4s,"Tiaret irl                  Tiaret in
                                Social media 
                                Since the 
                                Olympics"
272,547,1205,3817,23,74299,@marklevinshow,Mark R. Levin,4s,"A biologically male boxer beats up a biologically female boxer at the Olympics, and the media and Democrats are ok with it.  How do you feel about it, America?  The Harris-Biden regime actually support it as they destroyed the purpose of Title IX of the 1972 Education Act."
273,344,3057,37119,538,729665,@conorjrogers,Conor Rogers,4s,how fucking dumb do you have to be to think that Algeria sent a trans person to the Olympics
274,10,20,221,1,2932,@CatholicVote,CatholicVote,4s,"""Before I am an athlete, I am an Orthodox Christian.""

Novak Djokovic unapologetically displayed his faith at the Paris Olympics by wearing a cross as he won his first match."
275,43,63,221,8,89638,@gettinviggy,Neil Vigdor,4s,"Senator JD Vance, the Republican vice-presidential nominee, is drawing renewed scrutiny over his past remarks that Simone Biles showed weakness when she withdrew from the previous Olympics because of a mental health issue."
276,3,35,163,7,11666,@brandonjinx,brandon / jinx / big jinx,4s,"Olympics too fire. Everyone is maxed out skill wise, so technique is really what’s on stage. Just elevates the way you understand literally every sport."
277,72,31,260,4,18417,@michaelshermer,Michael Shermer,4s,"My larger point is fairness, and I still don't see how it is fair to the female Olympic boxers for Khelif to compete. The IOC should follow the protocols and decision of the boxing association that already ruled on the matter. It's the fairness issue (along with the concern about physical harm to women) that has everyone online up in arms about today's match."
278,27,47,1051,15,53076,@ellis_platten,Ellis Platten - AwayDays,4s,Why were these same accounts not tweeting like this when a man who was convicted of sex with a minor was competing in this SAME Olympics?
279,4,31,160,10,1797,@ijzimx,𓂆 إجزم • ijzim,4s,"i can’t keep up with white people. is algeria now a islamist, backwards & barbaric country with no freedom or is algeria a woke wonderland where they send an trans person to the olympics? can you decide? are we arabs backwards or woke? what is it now?"
280,19,38,547,34,23948,@AFpost,AF Post,4s,"Olympic athlete vomits 10 times on air after being forced to swim in polluted Seine River.

Follow: 
@AFpost"
282,15,180,1077,35,16450,@United24media,UNITED24 Media,4s, This video of Ukrainian Marta Kostyuk dancing during a break between sets at the #Olympics is going viral.
283,260,350,7899,113,273734,@TrollFootball,Troll Football,4s,What is Saka doing at the Olympics?
284,19,61,542,10,38307,@NBCOlympics,NBC Olympics & Paralympics,4s,"Don’t miss Simone Biles and Suni Lee bring their A-game to the women’s all-around. 

 8/7c on NBC and Peacock #ParisOlympics"
285,90,90,574,7,53030,@ClownWorld_,Clown World ™,4s,Olympics is filing DMCAs. Just got hit on few of our videos. All videos were under 20 seconds.
286,21,19,246,1,1778,@angijones,Angie Jones,4s,"Going to avoid twitter today. 
Seeing so many people, especially women, defending an obvious man beating up unwitting women, and calling it an Olympic sport, is too much. 
Im going to work today, supporting female victims of domestic violence, feeling hopeless."
287,33,69,327,5,5470,@DRodbone,Paranoid Humanoid,4s,"So the boxer the right is raging about is a woman. She is not trans. She was born female. Not only that, she has a string of losses to other women, and was in the last Olympics. Do Conservative rage baiters EVER tell the truth? 
#Paris2024"
288,79,75,369,2,18501,@BenFordhamLive,Ben Fordham Live,4s,"What a bunch of gutless cowards !

Olympic officials have allowed boxers who FAILED gender eligibility tests to compete in Paris.

It has led to a major blow up at the Olympic Games.

Listen to Ben’s comments HERE.

https://omny.fm/shows/ben-fordham-full-show/gutless-leadership-olympics-embroiled-in-gender-sc…"
289,19,7,189,11,8447,@eyeslasho,i/o,4s,No white athlete has made the men's Olympics 100 meters final since 1980.
290,39,307,707,58,42783,@IBA_Boxing,IBA,4s,"IBA remains committed to ensuring competitive fairness in all of our events, we absolutely condemn the inconsistencies in eligibility to compete in the boxing competition held in the Paris Olympic Games 2024."
291,38,119,2728,22,118603,@BBCSport,BBC Sport,4s,"Andy Murray didn't take long to update his bio 

#Paris2024 #Olympics"
292,2,58,429,3,8297,@FIBA3x3,3x3 Basketball |FIBA3x3,4s," Serbia withstand the French storm! 

#3x3Basketball #Paris2024 #Olympics"
293,38,590,7968,46,125716,@TeamUSA,Team USA,4s,"SILVER FOR THE 

With this medal, 
@katieledecky
 becomes the most decorated woman in U.S. Olympic history!

#ParisOlympics"
294,13,72,159,3,11592,@JessieJaneDuff,Gunnery Sergeant Jessie Jane Duff,4s,"""I'm proud that my superior man-shoulders and bone structure gave me the ability to beat up this small woman. This is what the sport of freestyle domestic violence is all about.""
@TheBabylonBee
 mocks the 
@Olympics
 for allowing violence against women to be a medal winning event"
295,73,342,1163,10,22357,@ShaykhSulaiman,Sulaiman Ahmed,4s,BABY KILLERS SHOULD NOT BE COMPETING IN THE OLYMPICS
297,2,48,1650,17,35056,@AshleeBuhler,Ashlee Buhler,4s,"ALSO, Paul Juda said he built the Eiffel Tower out of a Lego set before leaving for Paris. 

He plans to put his Olympic bronze medal in there! "
298,5,21,297,3,10774,@h81418541,S_Factor1,4s,She shouldn't  fight him. Olympics are complete and utter Disgrace.  His balls were hanging out and he tested for too much testosterone.  Beating women is not a Sport.
299,9,72,218,4,5258,@7thInningSteph,Steph Metzger-Lawrence,4s,"So far this Olympics, people have been outraged over:
-Women’s volleyball players wearing leggings
-A women’s rugby player’s weight 
-A woman beating another woman in boxing 
-A female swimmer not looking feminine enough

Some of y’all just need to admit that you hate women. "
300,2,37,185,8,10832,@BizballMaury,Maury Brown,4s,"Best Olympics meme, ever."
301,235,777,3284,13,32754,@EmeraldRobinson,Emerald Robinson,4s,"It's time to Bud Light the Olympics. 

Turn it off.

Stop posting clips.

Have nothing to do with those who mock & blaspheme Christ."
302,2,67,318,5,4309,@3lfares,Omar El Fares عُمَر الفارس,4s,Palestine Olympic Committee stands with Imane Khelif!! 
303,1141,1911,6059,387,196953,@OliLondonTV,Oli London,4s,The Paris Olympics want you to believe this is a woman.
304,6,65,1667,24,81948,@ParkerMolloy,Parker Molloy,4s,"The point in all of this is that ever since the 1930s, the Olympics have been grappling with DSDs and the question of who counts as a woman. Along the way, they've tried everything from having athletes parade around nude in front of a judge to DNA tests."
305,4,60,582,5,14877,@TeamCanada,Team Canada,4s," Racing her plan to perfection!  

#TeamCanada’s first ever Olympic medal in the women’s 200m butterfly belongs to Summer McIntosh! 

 Catch up on her latest victory at #Paris2024  http://bit.ly/46LTwvT"
306,339,1864,7248,60,114948,@PeterSweden7,PeterSweden,5s,"UNREAL

The Olympics is now accusing people of ""aggression"" for criticizing the biological male competing against women in boxing.

Yet another reason to boycott the Olympics!"
307,339,1866,7252,60,115084,@PeterSweden7,PeterSweden,5s,"UNREAL

The Olympics is now accusing people of ""aggression"" for criticizing the biological male competing against women in boxing.

Yet another reason to boycott the Olympics!"
308,16,133,977,13,26693,@CitiusMag,CITIUS MAG,5s,"USA Track and Field has just announced 110m hurdles Olympic silver medalist and 3x 110m hurdles World champion Grant Holloway (
@flaamingoo_
) and 400m hurdles Olympic champion and world record holder Sydney McLaughlin-Levrone (
@GoSydGo
) have been named the Team USA track and field captains for the Paris Olympics.

#Paris2024"
309,5,44,334,7,5321,@LissaJoStewart,Melissa Stewart,5s,"Are y’all really arguing that ALGERIA, a country that does not allow legal changes of gender identity, sent a transgender athlete to compete at the Olympics??"
310,15,63,649,4,20276,@TangoNDBBM,Sapper +P,5s,Domestic violence has become an Olympic sport.
311,42,89,1892,8,37915,@wjameswright,W. James Wright,5s,The Hungarian boxer should walk away  in protest. There is no shame. This is a sham Olympics
312,21,125,887,81,29912,@CyberPunkCortes,Hernan Cortes,5s,"The Olympics was meant for gifted amateurs, so this is what the Olympics is all about."
313,12,44,333,1,4309,@CelesteFinally,Celeste Irwin,5s,"Don’t miss it:

Trans women are out in numbers defending a woman in the Olympics that TERF’s are attacking.

Just in case you are wondering who is concerned about women’s rights."
314,11,21,546,4,6107,@daily_romania,Daily Romania,5s,They should organize a Paki Olympics where they compete to see who can f*ck most goats in a specific period of time
315,4,39,359,5,7921,@KryzivenTake2,sports tweeter Matthias (tonesetter),5s,"Actual convicted child rapist van de Velde competing at the Olympics but the ""protect our daughters"" movement is more concerned with creating a trans panic about an assigned female at birth woman."
316,4,14,202,1,4045,@HNS_CFF,HNS,5s,"Još jednom čestitamo Donni Vekić! Ovoga je puta drame bilo manje, ali uspjeh je još veći: osigurala je olimpijsku medalju, odnosno plasman u finale, te joj želimo puno sreće u subotnjoj borbi za zlato!  #Tennis 

 Cropix

#Obitelj | 
@hrv_olimp_odbor
 | #Olympics | #Paris2024"
317,35,78,637,16,22292,@WillHarrisAOAF,Anatomy of a Fighter,5s,Imagine how she feels with the world calling her a man just because yall jumping on bangwagons #Olympics Destroy the Fake WOKE
318,100,2332,10544,107,362676,@BleacherReport,Bleacher Report,5s,"A’ja Wilson becomes the ONLY PLAYER in the 2024 Olympics, men’s or women’s to record multiple double-doubles 

24PTS, 13 REBS vs Japan
23 PTS, 13 REBS vs Belgium"
319,101,2337,10553,107,362676,@BleacherReport,Bleacher Report,5s,"A’ja Wilson becomes the ONLY PLAYER in the 2024 Olympics, men’s or women’s to record multiple double-doubles 

24PTS, 13 REBS vs Japan
23 PTS, 13 REBS vs Belgium"
320,15,51,1103,10,94935,@BBCSport,BBC Sport,5s,"A memorable last ride for Andy Murray 

#Paris2024 #Olympics"
321,17,32,605,1,11753,@doctor_oxford,Dr Rachel Clarke,5s,"I will rise.

#Olympics"
322,6,37,289,2,5367,@OlympicEsporte,Olympic Esporte,5s,"Se liga! Vale medalha Olímpica!!! 

Semifinal do Tênis de Mesa

Sexta-feira às 9h30 da manhã 
Hugo Calderano x Moregard

Transmissão ao vivo na Globo, 
@sportv
 e 
@CazeTVOficial
 

Olimpíadas #PARIS2024 #Olympics #OlympicGames"
323,584,462,4480,7,51641,@ACTBrigitte,Brigitte Gabriel,5s,Raise your hand if you are boycotting the Olympics!
324,462,1651,14380,204,341813,@OwenJones84,Owen Jones,5s,"So in summary, there is now a massive transphobic hate campaign against an Olympic boxers who is not trans, and who has been defeated by other women in other fights. 

Just incredible stuff."
325,57,141,3238,13,62804,@Devin_Heroux,Devin Heroux,5s,"BREAKING 

Josh Liendo is in the 50m freestyle final.

He finished 9th. But French swimmer Grousset just scratched. So Liendo moves up to the 8th and final spot.

It’s Liendo’s first Olympic final."
326,154,72,672,4,23257,@AlboMP,Anthony Albanese,5s,"Gold! Congratulations to our 4x200m freestyle Olympic champions Mollie O’Callaghan, Lani Pallister, Brianna Throssell and Ariarne Titmus "
328,8,307,2044,33,21826,@AfricanHub_,African Hub,5s,Fatoumata Sylla is the first athlete from Guinea to compete at the Olympic Games in archery
329,773,1302,4180,123,139376,@OliLondonTV,Oli London,5s,"This is Luca Anna Hamori, a Hungarian Olympic boxer. 

On Saturday, she will have to face off against Imane Khelif, who is biologically male with XY chromosomes. 

Khelif previously failed a gender test, and was found to have high testosterone and male XY chromosomes."
330,6,70,621,2,19592,@mrjohnofarrell,John O'Farrell,5s,Olympic Gold for tweet of the tournament
331,20,72,189,16,7237,@FABERGANZA,Alejandro Berganza,5s,This is him before he went travesti to break women's faces with the support from olympic authorities
332,25,118,355,4,27967,@HeyTammyBruce,Tammy Bruce,5s,"White House, Harris silent on Olympics gender controversy as Trump vows to 'protect women and girls'"
333,63,158,836,4,12763,@ACTBrigitte,Brigitte Gabriel,5s,"Allowing biological males to box women in the Olympics is a disgrace to competition and fairness.

The IOC should be ASHAMED for allowing this to happen."
334,5,45,223,10,155105,@BBlanco718,Glockymolo,5s,Amy Broadbent share led her thoughts too. Shame such a BS tainted what should have been a great Olympic moment for both fighters
335,7,39,928,3,13896,@AdamInHTownTX,AdamInHTownTX (Not a Neurologist),5s,Why not just define himself as a gold medalist and skip the formality of competing in the Olympics?
336,23,260,4006,25,65178,@TeamUSA,Team USA,5s,"That first Olympic gold medal feeling 

#ParisOlympics"
337,23,260,4012,25,65257,@TeamUSA,Team USA,5s,"That first Olympic gold medal feeling 

#ParisOlympics"
338,41,61,919,4,20780,@YordieSands,Yordie Sands,5s,"For God Sake, will someone please buy Mike Tyson a ticket to the Olympics? Send Mike, give him Luca Anna Hamori's ID, a wig, and put him in the ring with Imane Khelif. That will put an end to this nonsense."
339,67,70,721,13,26802,@MailePRMedia,Maile,5s,"#1 The US president has no control over Olympic rules.

#2 This woman is not “transgender”. She was born a woman and has always identified as a woman since birth. 

#3 Stop spreading hate towards transgender people merely because you are angry about the Olympic rules that allow a"
340,15,25,229,2,2961,@DanaLeaB1,Helga Von Tippler,5s,If laziness was an Olympic sport I’d come in 4th just so I didn’t have to walk to the podium.
341,28,54,326,4,4533,@Jordan_Sather_,Jordan Sather,5s,"Just give the transgenders their own sports leagues and Olympic Games.

Problem solved."
342,17,179,703,6,5190,@ResisterSis20,Southern Sister Resister - Wordsmith #IAmTheStorm,5s,"Just #Simone doing her “Black Job” better than anyone else in the world!
#Olympics 
#FreshVoicesRise"
343,23,20,172,14,15602,@michaelshermer,Michael Shermer,5s,"Re the Olympic boxer Imane Khelif, reports since my post this morning say:
""there’s no indication that she identifies as transgender or intersex""

So? The same reports also state Khelif:
""failed to meet gender eligibility tests at the Women’s World Boxing Championships in New Delhi last year. At the time, sporting officials alleged that the boxers failed an unspecified test because they had male chromosomes.""

If Khelif is male then he doesn't belong in women's boxing. The IOC could clear this up by conducting their own test.
https://nbcnews.com/nbc-out/out-news/imane-khelif-boxing-win-olympics-gender-eligibility-rcna164662…"
344,36,62,972,1,13823,@abd_al3li,عبدالله محمد العلي,5s,"Who's Next  ? 
#ImaneKhelif 
#Olympics 
#OlympicGames"
345,21,25,739,4,30688,@ToddHeadleeAZ,Todd Headlee,5s,It’s shocking that the Olympic committee allowed this to happen and soiled the sport of W0MEN’s boxing
346,19,32,605,43,114073,@BBCSport,BBC Sport,5s,"Pass the tissues 

You're not the only one 
@clarebalding
 

#Paris2024 #Olympics"
347,30,205,1699,46,68969,@NBCOlympics,NBC Olympics & Paralympics,5s,"Never needed anything more than the #ParisOlympics.  
@FlavorFlav"
349,35,63,450,8,143414,@nytimes,The New York Times,5s,"From 
@TheAthletic
: It was a glorious night at the Olympics for Team USA.

Simone Biles won the gymnastics all-around title and Katie Ledecky became the most decorated woman in American Olympic history. Two GOATs in their sports, making history together. https://nyti.ms/3A6DPmt"
350,44,411,7258,60,67975,@watarugymnast,谷川 航/Wataru Tanigawa,5s,"セレモニー参加してきました
たくさんの応援ありがとうございました
種目別も応援よろしくお願いします
@TeamJapan
 
#gold
#パリ2024
#Paris2024 
#TEAMJAPAN  
#一歩踏み出す勇気を 
#がんばれニッポン 
#オリンピック 
#Olympics
#体操"
351,10,166,1043,31,38894,@eurosport,Eurosport,5s,"This is what it means 

Donna Vekic - the first Croatian tennis player to reach an Olympic singles final! 

#Paris2024"
352,1323,2719,15679,397,657630,@krassenstein,Brian Krassenstein,5s,"#1 The US president has no control over Olympic rules.

#2 This woman is not “transgender”. She was born a woman and has always identified as a woman since birth. 

#3 Stop spreading hate towards transgender people merely because you are angry about the Olympic rules that allow a woman to compete as a woman,  in a woman’s sport. 

Yes, a biological woman can have XY chromosomes due to certain genetic conditions. Stop being so ignorant and using this to attack trans people. Stop oversimplifying a complex situation. 

I don’t know what the right move is here but ignorance and hate is not the solution."
353,50,71,247,14,111237,@Paris2024,Paris 2024,5s,"August 1st at the Paris 2024 Olympic Games is coming to an end, and what a day it has been!
Intense emotions, moments of grace, and incredible sporting achievements 
-
La journée du 1er août des Jeux Olympiques de Paris 2024 touche à sa fin, et quelle journée !
Des émotions fortes, des moments de grâce et des exploits sportifs incroyables 

 #Paris2024 / Getty"
354,13,22,276,2,60205,@FoxNews,Fox News,5s,US women's fencing defeats Italy to win first-ever team gold medal in Olympics
356,21,19,178,21,75180,@itsmorganariel,Morgan Ariel,5s,"This is the last thing I am going to share that is Olympics related unless something prophetic takes place there. 

The opening ceremony was clearly a ritual and a mockery to God and placing transgenders into the events is a continuation of said mockery. 

If you all want to keep going along with the strong delusion so be it. 

Enjoy. "
357,39,100,576,1,14760,@OliLondonTV,Oli London,5s,"“I WILL KEEP MEN OUT OF WOMENS SPORTS!”

Donald Trump pledges to keep men out of women’s sports, while posting a video from the Paris Olympics of a female athlete being beaten by a biological male."
358,27,46,376,2,13089,@CorkCoypu,The Cork Coypu,5s,It's weird how there was no talk of #Khelif being a dude when #KellieHarrington battered her in the last #Olympics
359,11,168,1000,31,34727,@HaterReport_,Hater Report,5s,"Caitlin Clark watching Diana Taurasi get 0 points, 0 rebounds, and 0 assists in the Olympics"
360,11,14,464,3,58110,@animexbananas,Anime x Bananas,5s,"Most men all year long: ""Women's sport is not a serious sport.""

Same guys when they find out that one of the woman competing in Olympics is ""trans"" by their very reputed source and human rights ally JK Rowling: ""Oh how unfair, we been championing for women's rights for this?"""
361,40,527,6411,134,124130,@ApoloOhno,Apolo Anton Ohno,5s,"I don't know who captured this powerful moment but these are the little nuances that I think are most powerful in the 
@Olympics
.  A legendary athlete - who has nothing left to prove to anyone on earth, still prepares her mind to achieve superhuman height, form, performance.  

I only wish we knew what she was rehearsing, talking about, battling, fending off, or simply finding peace before an explosive performance.  
@Simone_Biles
 - you make us all smile and shake our heads in disbelief and admiration.  This photo is one of my favorites for some reason!  

The calm, the poise, the same socks that I've got on right now ha! The bandage to secure a slight support for the less than 100% calf/achilles.  The details!!!! Perfect. 
@TeamUSA
 - thank you for this photo."
362,25,7,538,14,49886,@cutietoryxo,Tory,5s,she competed in the 2020 olympics and no one said anything then!
363,28,82,2725,29,110210,@ParkerMolloy,Parker Molloy,5s,There are probably a dozen women at the Olympics right now with Y chromosomes. Are you going to root them all out?
364,18,133,923,23,14294,@Is_Not_Brian,Brian,5s,"More than anything I just wish people would stop bitching. There was a cool metal band with a beheaded monarch. A Chinese 19 yr old did something ""not humanly possible"". An Algerian woman hit a European lady so hard she started crying. I'm enjoying the Olympics tbh."
365,113,1398,12392,137,245893,@AvaSantina,Ava-Santina,5s,sorry I’ve been at dinner. Assuming Olympics uproar tonight is around that bloke who flew from Amsterdam to London in 2014 to r*pe a 12-year-old girl?
366,7,25,252,1,5181,@DolphinsAUS,Australian Swim Team,5s,"And that's another gold for our Women's relay team 

What an epic 4x200m swim, breaking the Olympic Record, by Lani Pallister, Ariarne Titmus, Brianna Throssell and Mollie O'Callaghan 

Shout out to Shayna Jack and Jamie Perkins for making their mark in the heat!

#AllezDolphins"
367,12,29,422,4,6355,@Team_Vekic,Team Vekic,5s,"These last 10 years have been such a rollercoaster, and now we are witnessing Donna playing for the gold medal at the Olympics? Pinch us. Never stop believing idemooo "
368,7,159,1243,7,19761,@COE_es,Comité Olímpico Español,5s,"Gracias por hacernos felices. Mucho.

#Paris2024 #Olympics #ElCorazónDeEspaña "
369,7,160,1244,7,19762,@COE_es,Comité Olímpico Español,5s,"Gracias por hacernos felices. Mucho.

#Paris2024 #Olympics #ElCorazónDeEspaña "
370,11,42,234,4,38537,@TIME,TIME,5s,"""Simone Biles persevered. She refused to let her story close on a low. She showed up to the Paris Olympics, ready as ever, and she brought her best. That’s winning—gold is just a bonus"""
371,4,13,1488,5,28979,@FSOBrat,Former Flag Guy,5s,"*showing up at the literal Olympic boxing tournament*

“Hey! You can hit me that hard!”

*Starts crying*"
372,18,2451,28448,1580,364409,@mcgrathxluthor,ali - katie mcgrath's wife,5s,"beat the is**eli, won the Olympic gold and kissed her girlfriend in front of the whole world and our fascist president oh that's a triple gold for italy"
373,9680,5629,18077,655,1134684,@OliLondonTV,Oli London,5s,"After beating Italian female boxer Angela Carini at the Paris Olympics today, Imane Khelif, who is biologically male with XY chromosomes, will compete with another woman on Saturday facing off against Hungarian boxer Luca Anna Hamori. 

Is this fair for women?"
374,27,428,4589,562,146061,@ParkerMolloy,Parker Molloy,5s,"The last time they did wide-scale DNA testing of female athletes was the 1996 Olympics. They found that 8 out of 3,387 (0.2%) had a Y chromosome. Roughly 100x higher rate than the general population. https://theguardian.com/sport/2012/may/06/drugs-sport-genes-athletics-women#:~:text=At%20the%201996%20Olympics%20in,presence%20of%20a%20Y%20chromosome%3F…"
375,49,25,186,1,17800,@NickAdamsinUSA,Nick Adams (Alpha Male),5s,"If you support men boxing women in the Olympics, UNFOLLOW me right now!"
376,53,1690,12607,150,416132,@carolinekwan,Caroline,5s,"Michael Phelps is literally referred to as a freak of nature because of his disproportionate wingspan, double jointed ankles, lung capacity twice that of an average human, body that produces half the lactic acid of a typical athlete, and he is rightly celebrated for being the"
377,130,548,1640,11,26306,@RepLuna,Rep. Anna Paulina Luna,5s,"Kamala Harris has been a vicious supporter of transgenders competing in women’s sports. Angela Carini was robbed of a victory today in the 
@Olympics
 because she was forced to fight a man. This is the kind of future Kamala wants for young women."
378,2,125,251,9,3359,@tastefullysaucy,inqilāb,5s,"So much outrage for a woman getting punched by her female opponent in a boxing competition in the Olympics

So little outrage for a man that raped a 12yr old competing in the Olympics

So little outrage for a country committing a genocide & its soldiers competing in the Olympics"
379,5,8,316,14,15009,@ScapieClikkie,ScapeGøat,5s,"So fun fact, the president and Paris' mayor announced that they would be swimming in it before the Olympics to prove that it wasn't dangerous, but since french people hate those two, they decided to all shit in it some time before they swim in it."
380,51,137,432,1,14974,@zekibahce,Zeki Bahçe,5s,"Türkiye Boks Federasyonu'nun, Cezayirli Khelif'in diskalifiye edilmesi için Olimpiyat Komitesi'ne yaptığı başvuru reddedildi.

Busenaz Sürmeneli yarı finale yükselirse bu (adamla) karşı karşıya gelecekler.

#Paris2024  #OlympicGames  #Olympics"
381,13,59,1018,97,159949,@BBCSport,BBC Sport,5s,"What does retirement look like for Andy Murray?

There won't be many lie-ins, that's for sure! 

#BBCOlympics #Olympics #Paris2024"
382,53,141,2422,98,77456,@Dexerto,Dexerto,5s,"Tom Cruise will reportedly close out the Paris Olympics with a stunt to pass the torch to the Los Angeles Olympics in 2028

via TMZ"
383,15,70,382,22,6828,@ThePOTSPostman,GC,5s,"Katie Ledecky is an incredible athlete, and I’m grateful for the awareness she’s bringing to POTS. Her achievements despite this illness are truly inspiring.

However, someone told me yesterday, “If she can be an Olympic athlete with POTS, then nothing should hold you back.”

It’s crucial to understand that POTS varies greatly from person to person. While one may have mild symptoms, another might be completely disabled.

Also, POTS is a syndrome triggered by underlying conditions. Depending on the trigger, POTS can be more debilitating and last longer for some individuals than others.

It’s important not to compare one person to another person when it comes to dealing with any chronic illness."
384,9,13,181,2,14441,@treykerby,Taco Trey Kerby,5s,All-time Olympic moment
385,27,17,251,1,9478,@kilmeade,Brian Kilmeade,5s,"Get ready. For the 
@TheFive
 filling in for 
@Gutfeldfox
    Olympic boxing goes gong show!"
386,11,47,274,3,4132,@LeoKearse,Leo Kearse - on YouTube & Saturday Night Showdown,5s,"What's Nazi today? Today, not approving of biological males punching women in the face at the Olympics is Nazi."
387,20,50,173,2,11784,@AvivaKlompas,Aviva Klompas,5s,"An example of the insane threats against Israelis   
There was a social media campaign that listed a bounty for the kidnapping and murder of Israeli athletes at the #Paris2024 Olympics."
388,18,94,555,7,31470,@NBCOlympics,NBC Olympics & Paralympics,5s,Breanna Stewart and A'ja Wilson led the way for Team USA as they clinch a spot in the quarterfinals.   #ParisOlympics
389,35,710,4180,21,95115,@brianschatz,Brian Schatz,5s,"This administration just freed American hostages in a super difficult and complicated deal, and Trump and Vance seem weirdly unhappy.  And I’ve never met anyone so political about the Olympics. You don’t wanna be called weird? Just root for America and watch sports!"
390,60,176,2541,40,85079,@PopBase,Pop Base,5s,"Team USA earns their second victory against Belgium for Women’s Basketball. #Olympics  

The US team extends its Olympic win streak to 57 games."
391,28,154,666,12,28336,@eNCA,eNCA,5s,[BREAKING NEWS] SA's most decorated Olympian Tatjana Smith has announced her retirement from swimming at the Paris Olympics. Smith's shock announcement comes after winning the silver medal for the 200m breaststroke. Smith won the gold medal for the 100m breaststroke on Tuesday. She retires with two Olympic gold and two silver medals. #DStv403
392,10,130,1234,25,47967,@TheTennisLetter,The Tennis Letter,5s,"Donna Vekic’s reaction after reaching the Olympics Final. 

She drops her racquet and covers her face. 

If you’ve followed her journey, you know what she’s been through. 

Injuries seriously threatened her career at one point.

Even in the lowest lows when she thought about giving up, she never stopped loving this sport. 

One of the nicest women off the court with a smile that lights up any stadium. 

Truly someone with a heart of gold… playing for a gold medal. 

How fitting. "
393,5,74,732,3,6872,@HellenicOlympic,Ηellenic Olympic Committee,5s,Συγκίνηση και υπερηφάνεια για τον Απόστολο Χρήστου 
394,127,109,715,2,7818,@Sassafrass_84,Sassafrass84,5s,"I'll never watch the Olympics ever again. 

And if you were smart, you wouldn't either. 

The satanic worshipping has to end. 

The woke insanity has gone to far."
395,10,106,2481,41,29342,@SCUDERIAFEMBOY,nini,5s,he only said he wasn’t competing in the olympics. he’s not denying he’s dutch. just in time for zandvoort 
396,170,760,2650,19,32224,@TiffMoodNukes,It's Tiff,5s,"BREAKING 

Olympic organizers have replaced the women’s boxing event with ‘The Ike Turner hit-a-bitch-to-da-floor competition 

Added was ‘The OJ Simpson Domestic Violence Decathlon’"
397,223,2654,35573,2460,1326173,@ParkerMolloy,Parker Molloy,5s,"""If someone has a Y chromosome, they're a man!!!""

My dudes, if you karyotype tested every female athlete currently competing at the Olympics, you'd surprise a fair number of them with news they were ""men"" (by your definition)."
398,5,753,3458,54,41446,@CoraCHarrington,Cora Harrington,5s,All these attacks on women athletes coming the same year women finally make up 50% of Olympic athletes is also not coincidental.
399,14,105,545,2,13909,@AnthonyMKreis,Anthony Michael Kreis,5s,JD Vance wants to inspect female athletes at the Olympics like they’re a love seat. It’s creepy. It’s gross. And it’s weird.
400,63,1535,6845,87,181083,@MattGertz,Matthew Gertz,5s,"Today Katie Ledecky became the most decorated American woman in Olympic history and Simone Biles put on a show while claiming her sixth gold medal.

The American right:"
401,66,54,323,27,78013,@awfulannouncing,Awful Announcing,5s,"Dan Orlovsky posts, deletes ‘Protect our daughters’ message during Olympic boxing firestorm http://dlvr.it/TBN5HH"
402,79,196,1692,8,53391,@harbhajan_singh,Harbhajan Turbanator,5s,"This is UNFAIR in my view  
@Olympics
 Needs to review this incident / match"
